"keyword_id","preferred_label_en","preferred_label_jp","category","scope_note","use_for","related_terms"
NIXON_VISIT_TO_PRC	President Nixon's Visit to the PRC	ニクソン米大統領訪中	diplomatic event	Use for records concerning President Richard Nixon's announced or actual visit to the PRC and related international reactions.	ニクソン訪中;ニクソン米大統領訪中;Nixon visit to China;Nixon visit to the PRC	US_PRC_RAPPROCHEMENT;FOREIGN_GOVERNMENT_ATTITUDES;MEDIA_REACTIONS
POST_CONFERENCE_FOLLOW_UP	Post-Conference Follow-up	会議後フォローアップ	diplomatic practice	Use for records concerning follow-up arrangements, implementation, liaison, or continuing contacts after an international conference.	会議後処理;会議後連絡;フォローアップ;post-conference follow-up	CONFERENCE_DIPLOMACY;DIPLOMATIC_LIAISON
DIPLOMATIC_LIAISON	Diplomatic Liaison	外交連絡／連絡官	diplomatic practice	Use for records concerning liaison officers, contact arrangements, diplomatic channels, or appointment of contact persons.	連絡官;連絡体制;外交連絡;liaison officer;diplomatic liaison	DIP;POST_CONFERENCE_FOLLOW_UP;CONFERENCE_DIPLOMACY
JAPANESE_POSITION	Japanese Position	日本の態度／日本の立場	diplomatic position	Use for records centered on the official position, policy line, or stance of Japan toward an international conference, issue, or diplomatic question.	日本の態度;日本の立場;日本側方針;Japanese position	JAPANESE_FOREIGN_POLICY;POLICY_PREPARATION;DIP
POLICY_PREPARATION	Policy Preparation	政策準備／方針準備	diplomatic practice	Use for preparatory policy materials, reference materials, drafts, instructions, or internal position-making before a conference or diplomatic negotiation.	参考資料;方針準備;政策準備;事前準備;policy preparation	JAPANESE_POSITION;CONFERENCE_DIPLOMACY;JAPANESE_DIPLOMATIC_REPORTING
SECURITY	Security	安全保障	security	Use for records concerning security affairs, defense questions, alliances, regional security, or strategic issues.	安全保障;安保;security	MILITARY;US_ALLIANCE_SYSTEM_IN_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA
MILITARY	Military Affairs	軍事	security	Use for records concerning military affairs, defense forces, armaments, military policy, or military aspects of diplomacy.	軍事;軍備;兵力;military	SECURITY;WEAPONS;ARMAMENTS
NUCLEAR_ISSUES	Nuclear Issues	核・原子力問題	security / technology	Use for records concerning nuclear weapons, nuclear energy, atomic issues, nuclear development, or diplomatic positions on nuclear questions.	原子力問題;核問題;核兵器;atomic issues;nuclear issues	SECURITY;MILITARY;PRC_POSITION_ON_NUCLEAR_ISSUES
PRC_POSITION_ON_NUCLEAR_ISSUES	PRC Position on Nuclear Issues	原子力問題に対する中共の態度	security / PRC diplomacy	Use for records specifically concerning the PRC or Communist China position on atomic or nuclear issues.	原子力問題に対する中共の態度;中共の核問題態度;PRC position on nuclear issues	PRC;NUCLEAR_ISSUES;SECURITY
NATIONAL_LIBERATION_MOVEMENT	National Liberation Movement	民族解放運動	political movement / decolonization	Use for records concerning national liberation movements, anti-colonial political-military movements, or diplomacy involving liberation movements as non-state actors.	民族解放運動;解放運動;liberation movement;national liberation movement	DECOL;THIRD_WORLD;VIET_MINH;CONFERENCE_DIPLOMACY
INVITATION	Invitation	招請／招待	conference diplomacy	Use for records concerning invitations, invitation policy, invitee selection, or diplomatic disputes over who should be invited to a conference.	招請;招待;招請問題;参加招請;invitation	PARTICIPATION;CONFERENCE_DIPLOMACY;PRC_ROC_COMPETITION
PARTICIPATION_INTENTION	Participation Intention	参加意向	conference diplomacy	Use for records concerning whether governments or political entities intend to participate, decline, or condition participation in a conference.	参加意向;参加希望;参加可否;participation intention	PARTICIPATION;INVITATION;CONFERENCE_DIPLOMACY
ORGANIZATIONAL_STRUCTURE	Organizational Structure	組織構造	organization / institutional structure	Use for records concerning committees, standing bodies, executive organs, domestic committees, regional branches, or institutional structure of an organization or movement.	組織構造;地区別委員会;国内委員会;常設委員会;執行委員会;organizational structure	AAPSO;TRANSNATIONAL_POLITICAL_ORGANIZATION;COMMITTEE
COMMITTEE_ACTIVITIES	Committee Activities	委員会活動	organization / institutional practice	Use for records concerning committee meetings, permanent committees, executive committees, national committees, or regional committee activities.	委員会;常設委員会;執行委員会;国内委員会;committee activities	ORGANIZATIONAL_STRUCTURE;AAPSO
ECONOMIC_SEMINAR	Economic Seminar	経済ゼミナール	conference / seminar	Use for records concerning economic seminars, study meetings, or seminar-series activity within diplomatic, solidarity, or transnational political organizations.	経済ゼミナール;経済セミナー;economic seminar	ECON_COOP;AAPSO;PEOPLES_DIPLOMACY
TRANSNATIONAL_POLITICAL_ORGANIZATION	Transnational Political Organization	越境的政治組織	organization type / political movement	Use for records concerning organizations or movements operating across national borders as political, solidarity, or ideological networks.	越境的政治組織;国際政治組織;transnational political organization	AAPSO;PEOPLES_DIPLOMACY;NATIONAL_LIBERATION_MOVEMENT
INTERNATIONAL_ORGANIZATION_ELECTIONS	International Organization Elections	国際機関選挙	international_organization	Elections for positions, judges, officers, or representatives in international organizations or related organs.	国際機関選挙; 国際機関の選挙; 国際機関人事; election in international organizations	JUDICIAL_ELECTIONS; UN; ICJ
JUDICIAL_ELECTIONS	Judicial Elections	裁判官選挙	international_law	Elections of judges for international courts or judicial bodies, including the International Court of Justice.	裁判官選挙; 判事選挙; ICJ judge election; judicial election	INTERNATIONAL_ORGANIZATION_ELECTIONS; ICJ; UN
DIPLOMATIC_RECOGNITION	Diplomatic Recognition	外交承認	diplomacy	Recognition of states, governments, or diplomatic relations.	外交承認; 国家承認; diplomatic recognition	GOVERNMENT_RECOGNITION_ISSUE; RECOGNITION_COMPETITION; PRC_ROC_COMPETITION
GOVERNMENT_RECOGNITION_ISSUE	Recognition of Governments	政権承認問題	diplomacy	Questions of recognizing foreign governments or regimes.	政権承認問題; 政権承認; recognition of governments	DIPLOMATIC_RECOGNITION; RECOGNITION_COMPETITION
RECOGNITION_COMPETITION	Recognition Competition	承認競争	diplomacy	Competition among governments or political entities over diplomatic recognition.	承認競争; 国交樹立競争; recognition competition	DIPLOMATIC_RECOGNITION; PRC_ROC_COMPETITION
POLITICAL_WORK	Political Work	政治工作	political activity	Political work, influence activity, or organized political operations by a state, party, or movement.	政治工作; political work; political operations	INFLUENCE_OPERATIONS; PROPAGANDA; SOUTHEAST_ASIA_COMMUNISM
INFLUENCE_OPERATIONS	Influence Operations	影響工作	political activity	Activities intended to shape opinion, alignments, or political behavior in another country or region.	影響工作; 対外工作; influence operations; political influence	POLITICAL_WORK; PROPAGANDA; DIPLOMATIC_LOBBYING
PRC_BURMA_RELATIONS	PRC-Burma Relations	中共・ビルマ関係	bilateral relations	Bilateral relations between the People's Republic of China and Burma/Myanmar.	ビルマ・中共関係; 中共・ビルマ関係; PRC-Burma relations; China-Burma relations	BILAT; POLITICAL_WORK; COLD_WAR_IN_SOUTHEAST_ASIA
LIAISON_OFFICER_APPOINTMENT	Liaison Officer Appointment	連絡官任命	diplomatic practice	Appointment of liaison officers or contact officials for conference follow-up or diplomatic coordination.	連絡官任命; 連絡官任命関係; liaison officer appointment	DIPLOMATIC_LIAISON; POST_CONFERENCE_FOLLOW_UP; BANDUNG_CONFERENCE
CONFERENCE_FOLLOW_UP_MECHANISM	Conference Follow-up Mechanism	会議後連絡体制	conference diplomacy	Post-conference liaison arrangements, follow-up mechanisms, or coordination structures.	会議後連絡体制; 会議連絡官; post-conference mechanism	POST_CONFERENCE_FOLLOW_UP; DIPLOMATIC_LIAISON; LIAISON_OFFICER_APPOINTMENT
